name,description,cuisinePrimary,cuisineSecondary,address_full,phone,website,latitude,longitude,rating,reviewCount,priceRange,features
"430º Gradi","Na 430ºGradi, oferecemos pizzas individuais Napoletanas, resgatando a receita centenária de Napoli na Itália, berço mundial da pizza: • Massa: as massas passam por um processo de longa fermentação que levam de 24h à 48h, resultando em uma pizza extremamente leve e de fácil digestão. Nossa massa é elástica, macia, fina e com bordas realçadas e aeradas proporcionando o equilíbrio ideal entre massa e cobertura; • Ingredientes de altíssima qualidade: farinha 00 italiana, azeite olitália, tomate sem pele italiano, queijo fior de latte, dentre outros; • Tamanho único: de 28 cm (pode ser comparado com uma pizza média); • Pizza individual: 1 pizza de 4 fatias = 1 pessoa. Diferenciada, a Gradi foi eleita pelo @50toppizza de melhores do mundo fora da Itália.","","","Rua Ernesto de Paula Santos 887 Boa Viagem, Recife, Pernambuco 51021-330","+558137874009","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d23395452-Reviews-4300_Gradi-Recife_State_of_Pernambuco.html","-8.124334","-34.904198",3,10,"$","Aceita cartão de crédito; Reservas"
"A  Quitanda Pasteis","","","","Rua Waldemar Nery Carneiro Monteiro, 699, Recife, Pernambuco","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27375875-Reviews-A_Quitanda_Pasteis-Recife_State_of_Pernambuco.html","-8.13912","-34.91263",-1,-1,"",""
"A Casa Do Pao","","","","Rua do Jau 50 Brasilia Teimosa, Recife, Pernambuco 51010-165","","","-8.08822","-34.88075",3,1,"",""
"A Firma","","","","Rua Doutor Joao Guilherme de Pontes Sobrinho 340 Boa Viagem, Recife, Pernambuco 51021-090","","","-8.12352","-34.90462",-1,-1,"",""
"A Gauchinha","","Churrasco","","Av. Mal Mascarenhas De Morais, 1128 - La A Imbiribeira, Recife, Pernambuco 51170-000","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d4525953-Reviews-A_Gauchinha-Recife_State_of_Pernambuco.html","-8.09279","-34.90907",4.1,9,"$",""
"A Leiteria Lanches","","","","Avenida Beberibe, 2015, Água Fria, Recife, PE, Recife, Pernambuco 52130-000","8134436518","","-8.004686","-34.89531",4.7,3,"",""
"A Toca Do Coelho","","","","Rua Joao Elisio Ramos 210 Pr Do Sonho, Recife, Pernambuco 50750-380","","","-8.063908","-34.904755",5,1,"",""
"A Vida é Bela café","Lugares para sentar","Francesa","","Rua Francisco Lacerda 394, Recife, Pernambuco 50741-150","+55 81 99921-1239","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d15065346-Reviews-A_Vida_e_Bela_cafe-Recife_State_of_Pernambuco.html","-8.050414","-34.95844",4.7,18,"$$ - $$$","Lugares para sentar; Para levar; Serviço de mesa"
"ADEGA DISTRIBUICAO e","","","","Rua Alcântara, 198, Recife, Pernambuco","+5581997271785","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d27383262-Reviews-ADEGA_DISTRIBUICAO_e-Recife_State_of_Pernambuco.html","-8.089306","-34.966053",-1,-1,"",""
"Aa Concept","","","","Rua do Giriquiti 48, Recife, Pernambuco 50070-010","","https://www.tripadvisor.com.br/Restaurant_Review-g304560-d25140264-Reviews-Aa_Concept-Recife_State_of_Pernambuco.html","","",-1,-1,"",""
